Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Sector Name
531540,Maruti Infrastructure Ltd.,MAINFRA,MARUTI INFRASTRUCTURE LTD.,10,Civil Construction,Industrials
531541,KOBO BIOTECH LIMITED,KOBO,Kobo Biotech Ltd-$,10,Commodity Chemicals,Commodities
531543,Jindal Worldwide Ltd.,JINDWORLD,JINDAL WORLDWIDE LTD.,1,Other Textile Products,Consumer Discretionary
531548,Somany Ceramics Limited,SOMANYCERA,SOMANY CERAMICS LTD.,2,Ceramics,Consumer Discretionary
531550,Jhaveri Credits & Capital Ltd.,JHACC,JHAVERI CREDITS & CAPITAL LTD.,10,Other Financial Services,Financial Services
531552,Raghunath Tobacco Co. Ltd.,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531553,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,10,Diversified Commercial Services,Services
531556,Coral India Finance And Housing Ltd,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,2,Diversified Commercial Services,Services
531569,Sanjivani Paranteral Ltd.,SANJIVIN,SANJIVANI PARANTERAL LTD.,10,Pharmaceuticals,Healthcare
531574,Vas Infrastructure  Ltd.,VASINFRA,VAS INFRASTRUCTURE LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531578,KMF Builders & Developers Ltd.,KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,5,Residential- Commercial Projects,Consumer Discretionary
531582,Beryl Securities Ltd,BERYLSE,BERYL SECURITIES LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531583,Rap Media Ltd.,RAP,RAP MEDIA LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531585,Devine Impex Limited,DEVINE,DEVINE IMPEX LTD.,10,Trading & Distributors,Services
531591,Bampsl Securities Ltd.,BAMPSL,BAMPSL SECURITIES LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531592,GENPHARMASEC LIMITED,GENPHARMA,Genpharmasec Ltd,1,Trading & Distributors,Services
531594,Incon Engineers Ltd.,INCON,INCON ENGINEERS LTD.,10,Industrial Products,Industrials
531595,Capri Global Capital Limited,CGCL,Capri Global Capital Limited,2,Non Banking Financial Company (NBFC),Financial Services
531599,FDC Ltd.,FDC,FDC LTD.,1,Pharmaceuticals,Healthcare
531600,Gogia Capital Services Limited,GOGIACAP,Gogia Capital Services Limited,10,Stockbroking & Allied,Financial Services
531608,Gorani Industries Ltd.,GORANIN,GORANI INDUSTRIES LTD.,10,Houseware,Consumer Discretionary
531609,KG Petrochem Ltd.,KGPETRO,KG PETROCHEM LTD.,10,Other Textile Products,Consumer Discretionary
531613,Meyer Apparel Limited,MAL,Meyer Apparel Ltd,3,Gems- Jewellery And Watches,Consumer Discretionary
531624,Country Condo's Ltd,COUNCODOS,COUNTRY CONDO'S LTD.,1,Residential- Commercial Projects,Consumer Discretionary
531626,Orosil Smiths India Limited,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,1,Gems- Jewellery And Watches,Consumer Discretionary
531628,TEJASSVI AAHARAM LIMITED,TEJASSVI,Tejassvi Aaharam Ltd,10,Other Textile Products,Consumer Discretionary
531633,Lincoln Pharmaceuticals ltd.,LINCOPH,LINCOLN PHARMACEUTICALS LTD.,10,Pharmaceuticals,Healthcare
531635,Silver Oak (India) Ltd.,SILVOAK,SILVER OAK (INDIA) LTD.,10,Breweries & Distilleries,Fast Moving Consumer Goods
531637,PRAVEG LIMITED,PRAVEG,Praveg Ltd,10,Advertising & Media Agencies,Consumer Discretionary
531638,Suraj Ltd.,SURAJLTD,SURAJ LTD.-$,10,Iron & Steel Products,Industrials
531640,Suvidha Infraestate Corporation Limited,SICL,Suvidha Infraestate Corporation Limited,10,Residential- Commercial Projects,Consumer Discretionary
531642,Marico Limited,MARICO,MARICO LTD.,1,Edible Oil,Fast Moving Consumer Goods
531644,Tokyo Finance Ltd.,TOKYOFIN,TOKYO FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531651,National General Industries Ltd.,NATGENI,NATIONAL GENERAL INDUSTRIES LTD.,10,Iron & Steel Products,Industrials
531661,Hittco Tools Ltd.,HITTCO,HITTCO TOOLS LTD.,10,Industrial Products,Industrials
531667,RR METALMAKERS INDIA LIMITED,RRMETAL,RR MetalMakers India Ltd,10,Trading - Metals,Commodities
531668,Vision Corporation Ltd.,VISIONCO,VISION CORPORATION LTD.,10,Film Production- Distribution & Exhibition,Consumer Discretionary
531671,Bisil Plast Limited,BISIL,Bisil Plast Limited,1,Packaging,Industrials
531672,Inani Securities Ltd.,INANISEC,INANI SECURITIES LTD.,10,Other Financial Services,Financial Services
531673,Anka India Ltd.,ANKIN,ANKA INDIA LTD.,10,Leather And Leather Products,Consumer Discretionary
531676,Vaghani Techno-Build Limited,VAGHANI,VAGHANI TECHNO-BUILD LTD.,10,Packaged Foods,Fast Moving Consumer Goods
531677,Aris International Limited,ARISINT,ARIS INTERNATIONAL LTD.,10,Computers - Software & Consulting,Information Technology
531681,AMERISE BIOSCIENCES LIMITED,AMERISE,Amerise Biosciences Ltd,1,Plastic Products - Industrial,Industrials
531688,Prithvi Exchange (India) Limited,PRITHVIEXCH,Prithvi Exchange (India) Ltd,10,Other Financial Services,Financial Services
531694,Rainbow Foundations Ltd,RAINBOWF,RAINBOW FOUNDATIONS LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531696,VSD Confin ltd.,VSDCONF,VSD CONFIN LTD.,10,Diversified Commercial Services,Services
